country,countryCode,pisaMathScore,pisaReadingScore,pisaScienceScore,pisaGeneralAverageScore,skippedMealsNever,skippedMealsOncePerWeek,skippedMealsTwoToThreePerWeek,skippedMealsFourToFivePerWeek,skippedMealsAlways,skippedMealsAtLeastOnce,familySupport,senseOfBelonging,parentsFrequentlyAskingAboutDay,availableFoodMiscellaneous,availableFoodAlcoholicBeverages,availableFoodAnimalFats,availableFoodVegetableOils,availableFoodOilcrops,availableFoodFishAndSeafood,availableFoodSugarCrops,availableFoodSugarAndSweeteners,availableFoodStarchyRoots,availableFoodOtherMeat,availableFoodMeatSheepAndGoat,availableFoodMeatPig,availableFoodMeatPoultry,availableFoodMeatBeef,availableFoodEggs,availableFoodMilk,availableFoodNuts,availableFoodFruit,availableFoodVegetables,availableFoodPulses,availableFoodCerealsOther,availableFoodBarley,availableFoodMaize,availableFoodRice,availableFoodWheat,foodGramsPerDayFruits,foodGramsPerDayNonStarchyVegetables,foodGramsPerDayPotatoes,foodGramsPerDayOtherStarchyVegetables,foodGramsPerDayBeansAndLegumes,foodGramsPerDayNutsAndSeeds,foodGramsPerDayRefinedGrains,foodGramsPerDayWholeGrains,foodGramsPerDayProcessedMeats,foodGramsPerDayUnprocessedRedMeats,foodGramsPerDaySeafoods,foodGramsPerDayEggs,foodGramsPerDayCheese,foodGramsPerDayYoghurt,foodGramsPerDaySugarSweetenedBeverages,foodGramsPerDayFruitJuices,foodGramsPerDayTea,foodGramsPerDaySaturatedFat,percentageOfSchoolTimeSpentUsingDigitalDevices,pisaMathScore2003,pisaMathScore2006,pisaMathScore2009,pisaMathScore2012,pisaMathScore2015,pisaMathScore2018,pisaMathScore2022,pisaReadingScore2003,pisaReadingScore2006,pisaReadingScore2009,pisaReadingScore2012,pisaReadingScore2015,pisaReadingScore2018,pisaReadingScore2022,pisaScienceScore2006,pisaScienceScore2009,pisaScienceScore2012,pisaScienceScore2015,pisaScienceScore2018,pisaScienceScore2022,pisaGeneralAverage2006,pisaGeneralAverage2009,pisaGeneralAverage2012,pisaGeneralAverage2015,pisaGeneralAverage2018,pisaGeneralAverage2022
Spain,ESP,"473,0","474,0","485,0","477,3",,,,,,"0,0","0,1","0,3","76,7",,"166,82692","69,09991","720,6133","34,549953","85,88131",,"286,27103","102,66272","5,350307","11,579169","220,31024","114,59725","38,528133","57,254208","266,5282","68,53724","129,31554","74,035614","48,369934","1,164827","4,491494","16,73205","67,91534","670,8613",44.22937376,67.00534247,75.70380031,5.931760832,16.76005236,8.373517071,113.8342041,19.52373385,37.99783028,53.41436747,45.01874705,16.73760863,44.8164202,36.71161695,197.8646295,28.18732499,14.78678896,12.5281063,34,485,480,483,484,486,,473,481,461,481,488,496,,474,488,488,496,493,,485,476,484,490,491,,477
Sweden,SWE,"482,0","487,0","494,0","487,7",,,,,,"0,0","0,1","0,1","83,6","11,687867","156,81221","163,63014","423,68518","29,219667","56,491356",,"330,18225","104,21681","0,6525726","8,366565","156,26678","54,874535","71,97778","51,62141","429,5291","29,78458","90,58097","70,1272","21,427755","2,4739318","11,561248","15,973417","64,57547","680,26306",81.02236147,98.11488785,74.07166591,14.61608132,14.32274892,4.602720013,29.44630593,20.4320111,38.2509571,70.70983052,24.09824642,21.54166307,26.34087918,76.40746792,150.9875931,84.39389646,12.27029776,13.94592204,64,509,502,494,478,494,502,482,514,507,497,483,500,506,487,503,495,485,493,499,494,504,496,482,496,503,487
Switzerland,CHE,"508,0","483,0","503,0","498,0","93,3","2,1","1,0","0,2","3,4","6,7","-0,1","0,4","76,7","4,007414","152,28172","159,2947","516,95636","20,03707","29,05375",,"448,83035","87,16125","4,0474877","8,565847","278,57538","59,099335","54,14016","42,077843","468,8674","70,96128","127,23539","70,12974","18,033361","9,597755","7,033011","5,720583","27,040024","691,49927",94.39867913,73.77598719,54.5791494,18.59846653,2.353695877,4.900126799,88.81848563,37.1078743,24.09704413,47.42845772,27.31434422,15.41526449,32.79275023,56.83565648,201.4293221,55.45743619,18.00975148,13.2658433,39,527,530,534,531,521,515,508,499,499,501,509,492,484,483,512,517,515,506,495,503,513,517,518,506,498,498
Thailand,THA,"394,0","379,0","409,0","394,0","72,4","13,5","6,9","1,5","5,8","27,6","-0,3","-0,3","51,6",,"120,11637","19,531116","260,74042","64,45268","66,4058",,"387,69266","30,273232","0,4882779","0,20507672","123,651505","41,738","7,0116706","49,804348","42,968456","6,181598","73,241684","34,179455","25,390451","5,0292625","42,021194","99,16925","1084,5629","136,94241",117.4043903,179.7418888,9.177504271,19.99810032,47.43828843,0.960373208,429.4905582,11.30000871,20.30694466,55.36399425,42.98527468,37.45922448,2.292087138,8.35317023,445.5536919,12.25047297,23.93597487,11.87321707,54,417,417,419,427,415,419,394,420,417,421,441,409,393,379,421,425,444,421,426,409,418,422,437,415,412,394
Türkiye,TUR,"453,0","456,0","476,0","461,7","80,7","10,8","4,8","1,8","1,9","19,3","-0,2","-0,3","66,0","1,0024203","25,060509","68,16458","575,3893","48,116177","10,024203",,"306,74063","99,23962","0,03007261","8,721057","0,010024203","69,48778","55,44387","40,096813","351,84955","82,86007","165,39935","154,37274","130,31465","0,03007261",,"135,05609","101,44494","1272,7432",84.09003662,114.8634453,35.10901411,55.1330679,42.07717587,11.37589645,226.0047993,2.188294532,5.47715957,79.05476374,7.460947363,19.78684452,35.84843232,133.5479378,191.5051408,36.58274838,19.02479595,11.22302755,45,423,424,445,448,420,454,453,441,447,464,475,428,466,456,424,454,463,425,468,476,432,455,462,425,462,462
Ukrain,UKR,"441,0","428,0","450,0","439,7","91,0","3,3","1,7","0,8","3,3","9,0","0,1","-0,1","72,1","0,995994","110,555336","64,73961","248,9985","2,987982","24,89985",,"347,6019","230,07462","1,3147122","1,4043515","87,99607","87,19928","43,813778","75,69554","268,91837","13,14712","73,70355","118,523285","17,927893","24,501453","18,216732","177,07776","31,134773","781,33734",87.19119438,117.5306599,182.763683,39.00095677,8.098903647,15.95233213,156.7280577,48.52657999,53.31107916,51.51219074,23.56403367,32.53269567,25.91499415,77.96870104,118.8299543,45.33724459,18.63603917,10.77362537,75,,,,,,,441,,,,,,,428,,,,,,450,,,,,,440
United Arab Emirates,ARE,"431,0","417,0","432,0","426,7","81,7","5,2","4,0","2,2","7,0","18,3","0,1","-0,2","71,8","3,1948195",,"67,09121","755,0423","41,53265","45,79241",,"316,2871","41,53265","14,728117","40,201477",,"110,93478","36,207954","28,753374","199,14374","19,328657","82,00037","47,92229","183,16965","1,3844217",,"9,350171","288,06622","895,31616",113.2571337,123.1090935,223.583285,68.63654429,40.44984061,24.60742155,411.1411133,23.34736348,31.0890882,42.35494526,41.70899398,32.19170347,18.16796379,61.79479932,236.8503255,27.16746216,21.24994399,8.665390655,43,,,421,434,427,435,431,,,431,442,434,432,417,,438,448,437,434,432,,430,441,433,433,427
United Kingdom,GBR,"489,0","494,0","500,0","494,3","89,5","3,4","1,3","0,4","5,5","10,5","0,1","-0,2","81,4","27,332787","132,61462","115,4051","484,90387","44,542316","45,554646",,"260,16763","131,60231","5,527297","26,512804","234,02939","123,81752","51,426132","43,52999","344,19064","20,691933","133,62695","74,91208","23,283485","5,9625964","21,005753","58,58327","77,807335","816,5113",65.61470446,78.8773093,128.7074653,8.485714315,36.65780523,5.206397647,128.5286344,40.76551856,38.95237168,41.22456003,20.36336472,17.17961567,38.56631316,38.22200262,271.1031516,50.64414898,15.18857284,11.93645237,31,,495,492,494,492,502,489,,495,494,499,498,504,494,515,514,514,509,505,500,502,500,502,500,503,494
United States,USA,"465,0","504,0","499,0","489,3","87,0","4,2","1,7","0,8","6,2","13,0","0,1","-0,3","79,3",,"135,97098","86,70614","714,34033","69,956085","36,45599",,"577,38403","85,72084","2,345007","3,8919232","215,40562","227,92876","102,89456","60,103115","371,45697","58,428112","132,0298","72,91198","47,294254","7,0153146","2,4533894","91,58335","79,59229","612,7956",61.59208289,83.73833936,31.19118112,8.746969037,19.03622988,9.875142717,104.4114209,15.72731573,28.39547561,35.48620308,7.755485881,17.95629882,33.52839215,11.71101125,334.8449234,112.3304913,15.35454039,11.22375588,,483,474,487,481,470,478,465,495,,500,498,497,505,504,489,502,497,496,502,499,482,496,492,488,495,489
Uruguay,URY,"409,0","430,0","435,0","424,7","92,6","3,8","1,7","0,5","1,4","7,4","0,1","-0,1","72,4","8,104152","94,21076","120,54925","346,45245","25,325472","18,23434",,"445,72833","100,28887","2,6541095","14,911638","88,12251","75,43952","121,98773","49,637928","379,88208","4,4167624","76,98944","52,676983","28,364529","52,10969","9,441336","233,99724","102,69985","741,6109",109.6319672,179.8370218,26.53124183,51.07340661,47.63945293,19.46689717,330.7362765,17.51597031,53.39048975,93.03754873,25.19596526,37.02707539,11.22796008,28.05997654,567.9048091,33.937084,20.5324992,9.968533175,37,422,427,427,409,418,418,409,434,413,426,411,437,427,430,428,427,416,435,426,435,422,427,412,430,424,425
Uzbekistan,UZB,"364,0","336,0","355,0","351,7","72,6","8,5","4,8","2,0","12,1","27,4","0,1","0,1","71,4","1,9965721","30,946867","72,874886","260,55267","5,9897165","7,9862885",,"176,69662","157,7292","0,6289202","42,237484","1,5273776","9,184232","194,56595","32,94344","424,27158","20,215292","145,74977","188,67607","4,9914303","4,721893","19,54644","49,045795","60,36636","1336,3457",82.61022051,156.1431364,351.6267035,102.7872859,32.06589563,3.506694767,223.2418914,42.01954575,50.61402492,136.6053956,41.66290541,37.55488965,40.78661907,78.28840597,198.6531516,20.66694971,34.47683409,10.4911045,39,,,,,,,364,,,,,,,336,,,,,,355,,,,,,351
Viet Nam,VNM,"469,0","462,0","472,0","467,7","81,4","9,8","5,8","1,5","1,4","18,6","-0,1","-0,3","53,3","3,0214145","78,55678","46,328358","135,96365","87,621025","67,47826","5,0356913","181,28488","46,328358","0,94670993","0,95678127","368,61258","61,526073","29,086151","16,114212","35,249836","6,355042","92,656715","105,74951","31,221285",0,0,"154,5353","1318,9481","122,56872",101.4874861,185.8190148,9.481013174,85.0636819,117.1822692,16.53564392,384.1169589,17.71142001,15.94435302,74.79260023,64.27864649,52.39854583,2.160042088,8.098622534,133.289867,16.52287135,33.7815126,6.363538522,50,,,,,,,469,,,,,,,462,,,,,,472,,,,,,468
