country,countryCode,pisaMathScore,pisaReadingScore,pisaScienceScore,pisaGeneralAverageScore,skippedMealsNever,skippedMealsOncePerWeek,skippedMealsTwoToThreePerWeek,skippedMealsFourToFivePerWeek,skippedMealsAlways,skippedMealsAtLeastOnce,familySupport,senseOfBelonging,parentsFrequentlyAskingAboutDay,availableFoodMiscellaneous,availableFoodAlcoholicBeverages,availableFoodAnimalFats,availableFoodVegetableOils,availableFoodOilcrops,availableFoodFishAndSeafood,availableFoodSugarCrops,availableFoodSugarAndSweeteners,availableFoodStarchyRoots,availableFoodOtherMeat,availableFoodMeatSheepAndGoat,availableFoodMeatPig,availableFoodMeatPoultry,availableFoodMeatBeef,availableFoodEggs,availableFoodMilk,availableFoodNuts,availableFoodFruit,availableFoodVegetables,availableFoodPulses,availableFoodCerealsOther,availableFoodBarley,availableFoodMaize,availableFoodRice,availableFoodWheat,foodGramsPerDayFruits,foodGramsPerDayNonStarchyVegetables,foodGramsPerDayPotatoes,foodGramsPerDayOtherStarchyVegetables,foodGramsPerDayBeansAndLegumes,foodGramsPerDayNutsAndSeeds,foodGramsPerDayRefinedGrains,foodGramsPerDayWholeGrains,foodGramsPerDayProcessedMeats,foodGramsPerDayUnprocessedRedMeats,foodGramsPerDaySeafoods,foodGramsPerDayEggs,foodGramsPerDayCheese,foodGramsPerDayYoghurt,foodGramsPerDaySugarSweetenedBeverages,foodGramsPerDayFruitJuices,foodGramsPerDayTea,foodGramsPerDaySaturatedFat,percentageOfSchoolTimeSpentUsingDigitalDevices,pisaMathScore2003,pisaMathScore2006,pisaMathScore2009,pisaMathScore2012,pisaMathScore2015,pisaMathScore2018,pisaMathScore2022,pisaReadingScore2003,pisaReadingScore2006,pisaReadingScore2009,pisaReadingScore2012,pisaReadingScore2015,pisaReadingScore2018,pisaReadingScore2022,pisaScienceScore2006,pisaScienceScore2009,pisaScienceScore2012,pisaScienceScore2015,pisaScienceScore2018,pisaScienceScore2022,pisaGeneralAverage2006,pisaGeneralAverage2009,pisaGeneralAverage2012,pisaGeneralAverage2015,pisaGeneralAverage2018,pisaGeneralAverage2022
El Salvador,SLV,"343,0","365,0","373,0","360,3","82,1","8,1","3,5","1,3","5,0","17,9","0,0","-0,3","65,8","13,399677","31,953075","80,39806","111,3204","50,506474","14,430421",,"249,44014","52,567963",0,"0,08245955","32,355064","93,07622","34,10733","32,98382","191,71846","2,0511813","106,16667","60,81392","193,77994","3,3396118","0,010307443","828,7288","127,534004","327,4984",153.7748934,153.5897734,45.76506858,80.57249167,38.2301141,2.829870633,327.6968029,14.84815017,54.94739884,68.05438764,11.75162087,23.6555668,14.38341583,24.17271191,477.7301599,31.23941399,14.24317702,7.212772102,65,,,,,,,343,,,,,,,365,,,,,,373,,,,,,361
Estonia,EST,"510,0","511,0","526,0","515,7","91,2","4,0","1,8","0,6","2,3","8,8","-0,1","-0,1","75,3","4,9890594","292,3589","276,3939","258,4333","12,971555","21,951862",,"316,30637","132,70898","0,5986872","2,913611","189,99336","85,432655","37,158516","46,89716","570,7484","35,252697","101,77682","69,84683","43,903725","4,8194313","46,508015","68,799126","28,417683","305,4402",97.56594806,188.3138758,144.8745449,4.640670362,7.154848594,13.55017185,176.1929896,94.43308477,101.7329488,101.7006157,25.63553734,39.56415136,102.173364,172.7950419,116.1990662,211.2748701,16.16136415,13.5750337,34,,515,512,521,520,523,510,,501,501,516,519,523,511,531,528,541,534,530,526,516,514,526,524,526,516
Finland,FIN,"484,0","490,0","511,0","495,0","97,3","1,6","0,6","0,1","0,4","2,7","0,0","0,1","78,1","23,046804","170,34595","217,44159","232,4721","22,04477","62,126167",,"343,698","119,24216","1,893846","3,0862675","300,79083","76,50536","87,617935","44,08954","491,99918","19,870354","108,21977","60,122097","34,069187","13,5675535","51,94549",,"51,84529","630,66077",106.0009279,82.2954901,53.03470523,4.904778856,5.514693958,2.851073342,106.5243567,49.01715242,67.86232952,60.37420545,26.73465888,19.56226436,37.23655033,56.3449559,100.1897547,58.38724657,10.86564231,13.58172924,56,544,548,541,519,511,507,484,543,547,536,524,526,520,490,563,554,545,531,522,511,553,543,529,523,516,495
France,FRA,"474,0","474,0","487,0","478,3","91,5","2,8","1,0","0,5","4,2","8,5","-0,1","0,0","74,4","3,0369165","137,67355","281,42093","378,60226","28,344555","62,762943",,"349,2454","96,16902","4,5452514","15,376921","243,26714","92,72718","67,35881","54,664497","412,00833","32,96067","116,41513","71,87369","11,135361","2,004365","4,909682","95,02512","69,44415","881,78894",105.8437409,103.6476895,34.6797281,0.708895543,11.61301939,2.367061649,157.0717659,28.91752902,37.1681169,48.68073447,21.27887225,11.11391551,44.78428181,64.09085873,184.7399884,23.61311064,15.63183678,16.34573066,28,511,496,497,495,493,495,474,496,488,496,505,499,493,474,495,498,499,495,493,487,493,497,500,496,494,478
Georgia,GEO,"390,0","374,0","384,0","382,7","80,9","5,8","3,1","2,0","8,3","19,1","0,1","0,0","71,8","15,889258","82,624146","91,09841","205,50107","12,711407","21,185678",,"392,99432","92,1577","3,686308","9,395848","46,258926","64,82818","34,882217","42,371357","276,47308","32,096302","67,79417","45,549206","1,0592839","21,206863","48,27157","219,8014","26,25965","1291,6908",68.07560174,58.75412948,110.0664965,27.73879011,32.25708521,7.747905429,447.8089933,29.99899675,73.10594943,20.38824279,44.95655745,22.62435285,75.54007802,54.39207915,134.5282173,47.63324947,10.39357372,9.090586339,49,,,379,,404,398,390,,,374,,401,380,374,,373,,411,383,384,,375,,405,387,383
Germany,DEU,"475,0","480,0","492,0","482,3",,,,,,"0,0","0,0","0,3","80,6",,"222,20657","285,55054","528,87177","35,191086","37,202007",,"447,42953","124,676994","2,765014","6,173522","206,84315","66,86307","43,305145","60,32758","472,56604","61,654785","125,68246","76,41493","6,0327578","8,677116","2,563922","65,64646","43,285038","562,59485",96.07752242,123.587139,67.27353437,17.9948467,4.63440621,2.913994372,257.6746834,63.22447856,72.25282948,47.00100026,12.02687237,22.65704108,28.12710358,40.82990904,183.9016533,49.71292395,13.92054973,14.70184684,26,503,504,513,514,506,500,475,491,495,497,508,509,498,480,516,520,524,509,503,492,505,510,515,508,500,482
Greece,GRC,"430,0","438,0","441,0","436,3",,,,,,"0,0","0,1","-0,1","77,4","10,90668","81,30434","60,4825","673,2396","101,13467","37,67762",,"329,1834","86,261925","2,974549","42,20885","103,96049","86,76759","41,68335","33,711555","392,64047","64,38908","187,39659","97,1686","30,737007","14,010126","3,8173378","11,134728","56,25864","710,9073",52.39770784,57.76862164,80.18843169,6.790191853,12.31711293,6.650906709,24.37715356,28.12401929,6.399130773,76.42102499,20.40786456,14.50276668,29.07842143,45.01621387,136.8477026,21.75295348,43.48683216,14.21788729,32,445,459,466,453,454,451,430,472,460,483,477,467,457,438,473,470,467,455,452,441,464,473,466,458,453,436
Guatemala,GTM,"344,0","374,0","373,0","363,7","79,5","7,5","3,2","1,2","8,6","20,5","-0,1","-0,2","68,7","4,127366","35,08261","25,796036","209,46382","45,401024","6,1910486",,"528,30286","54,6876","0,5056023","0,6913338","14,899791","104,29854","41,5213","47,464706","76,35627","9,276255","111,43888","48,496548","91,83389","0,051592074","25,084066","858,47144","94,03171","227,779",97.79582101,115.8050103,25.27759128,57.01319701,64.3217077,2.482154684,440.3911656,17.46596625,48.74431026,91.00011272,7.685521715,30.74379646,13.20863198,22.91973099,358.9398619,26.64150686,14.22783216,4.776772224,100,,,,,,334,344,,,,,,369,374,,,,,365,373,,,,,356,364
Hong Kong (China),HKG,"540,0","500,0","520,0","520,0","86,0","8,2","3,1","0,7","2,0","14,0","-0,3","-0,4","52,4","27,985163","48,974033","94,94965","257,86328","45,975624","95,94913",,"295,84314","34,981453","8,035739","6,0567884","392,4819","206,88031","103,89491","97,94807","173,90779","25,146667","75,959724","157,91628","9,9947","11,503901","0,31983042","29,994097","389,0937","385,95535",,,,,,,,,,,,,,,,,,,40,550,547,555,561,548,551,540,510,536,533,545,527,524,500,542,549,555,523,517,520,542,546,554,533,531,520
Hungary,HUN,"473,0","473,0","486,0","477,3","95,4","2,8","0,9","0,4","0,5","4,6","0,2","0,1","83,4",,"195,17717","318,02982","475,5586","13,870459","13,870459",,"444,84543","63,407814","0,7430603","0,49537355","259,2389","125,765434","13,900181","56,472584","261,55722","2,6651096","96,10246","70,34304","18,824194","4,4385467","0,7826902","0,029722411","44,97992","795,09436",55.29631398,39.14365613,19.86401985,38.31943057,19.32789533,2.903139255,57.15675287,41.0913453,13.36447099,28.75164583,10.23421406,27.09225548,22.20853087,91.35550864,160.822258,23.7345904,17.69196433,14.10253842,37,490,491,490,477,477,481,473,482,482,494,488,470,476,473,504,503,494,477,481,486,492,496,487,474,479,477
